id,name,code,,
151,MANYAME,CDST0090_001,,
152,MANZVIRE,CDST0091_001,,
153,MARAMBAPFUNGWE,CDST0092_001,,
154,MARLBOROUGH,CDST0093_001,,
155,MARONDERA BEST,CDST0094_001,,
156,MARONDERA PROVINCE,CPRV0023_001,,
157,MASASA,CDST0095_001,,
158,MASHAVA,CDST0096_001,,
159,MASVINGO,CPRV0024_001,,
160,Masvingo East Province,CPRV0056_001,,
161,MASVINGO SOUTH,CDST0097_001,,
162,MAUNGWE,CPRV0025_001,,
163,MBARE,CDST0098_001,,
164,MBERENGWA,CPRV0026_001,,
165,MBIZO,CDST0099_001,,
166,Mbizo Miracle City District,CMIN0004_001,,
167,MBIZO MIRACLE CITY DISTRICT,CDST0184_001,,
168,MHANGURA,CDST0100_001,,
169,MKOBA,CDST0101_001,,
170,MKOBA 2,CDST0102_001,,
171,MKWASINI,CDST0103_001,,
172,Mozambique,CCUN0007_001,,
173,MPANDAWANA W,CDST0104_001,,
174,MPOPOMA,CDST0105_001,,
175,MSASA HARARE,CDST0106_001,,
176,MSASA PARK,CDST0107_001,,
177,MT. PLEASANT,CDST0108_001,,
178,MT.DARWIN,CPRV0027_001,,
179,MUBAIRA,CDST0109_001,,
180,MUCHEKE,CDST0110_001,,
181,Mucheke West District,CDST0211_001,,
182,MUFAKOSE,CDST0111_001,,
183,MUNOIRIRWA,CDST0112_001,,
184,MURAMBINDA,CDST0113_001,,
185,MUREWA,CPRV0028_001,,
186,MUROMBEDZI,CDST0115_001,,
187,MUSAMI,CDST0114_001,,
188,MUTARE,CPRV0029_001,,
189,MUTOKO,CDST0116_001,,
190,MUTOKO PROVINCE,CPRV0030_001,,
191,MUZARABANI,CPRV0031_001,,
192,MVUMA,CDST0117_001,,
193,MVURWI,CDST0118_001,,
194,Mzilikazi (Upper class byo),CDST0119_001,,
195,Namibia,CCUN0008_001,,
196,NEMANGWE,CDST0120_001,,
197,NEMBUDZIA,CPRV0032_001,,
198,New Zealand,CCUN0009_001,,
199,NGEZI,CDST0121_001,,
200,NGUNDU,CDST0122_001,,
201,NKETA,CDST0123_001,,
202,NKULUMANE DISTRICT,CDST0190_001,,
203,NKULUMANE-old,CDST0124_001,,
204,NORTON,CPRV0033_001,,
205,Norton City,CDST0197_001,,
206,Norton Katanga,CDST0198_001,,
207,Norton Knowe,CDST0200_001,,
208,Norton Maridale,CDST0199_001,,
209,NYAMENI,CDST0125_001,,
210,NYAMUZUWE,CDST0126_001,,
211,NYANGA,CDST0127_001,,
212,NYANGA Province,CPRV0049_001,,
213,NYANINGWE,CDST0128_001,,
214,NYANYADZI,CDST0129_001,,
215,NYAZURA,CDST0130_001,,
216,NYIKA,CDST0131_001,,
217,PENHALONGA,CDST0132_001,,
218,PHAKAMA,CDST0133_001,,
219,PLUMTREE,CPRV0034_001,,
220,PROJECTS CONTRIBUTIONS,CMIN0007_001,,
221,PUMULA,CDST0134_001,,
222,Qatar,CCUN0010_001,,
223,REDCLIFF,CDST0135_001,,
224,RIMBI,CDST0138_001,,
225,RIMUKA,CDST0137_001,,
226,RUGARE,CDST0139_001,,
227,RUJEKO,CDST0140_001,,
228,RUSITU,CDST0141_001,,
229,RUTENDO,CDST0142_001,,
230,Rutenga Province,CPRV0051_001,,
231,RUWA,CDST0143_001,,
232,SADZA,CDST0144_001,,
233,SAKUBVA,CDST0145_001,,
234,SANYATI,CDST0146_001,,
235,SEKE 1,CDST0147_001,,
236,SEKE 2,CDST0148_001,,
237,SEKE 3,CDST0149_001,,
238,SEKE 4,CDST0150_001,,
239,SEKE 5,CDST0151_001,,
240,SEKE 6,CDST0152_001,,
241,Seke 8,CDST0212_001,,
242,Seke Province,CPRV0040_001,,
243,SENGA,CDST0153_001,,
244,SHAMVA,CDST0154_001,,
245,SHANGANI,CDST0155_001,,
246,SHURUGWI,CDST0156_001,,
247,Shurugwi Province,CPRV0053_001,,
248,SMALDEEL,CDST0157_001,,
249,South Africa,CCUN0011_001,,
250,SOUTHERTON,CDST0158_001,,
251,Southlands,CDST0204_001,,
252,Southlea Park,CDST0193_001,,
253,ST. MARYS,CDST0159_001,,
254,SUNNINGDALE,CDST0160_001,,
255,Swaziland,CCUN0012_001,,
256,TAFARA,CDST0161_001,,
257,TORWOOD,CDST0162_001,,
258,TRIANGLE,CDST0163_001,,
259,TROJAN,CDST0164_001,,
260,TSHOVANI,CDST0165_001,,
261,UK,CCUN0013_001,,
262,Upper Class,CDST0170_001,,
263,USA,CCUN0014_001,,
264,UZUMBA,CDST0166_001,,
265,VENGERE,CDST0167_001,,
266,VICTORIA FALLS,CDST0168_001,,
267,WARREN PARK A,CDST0169_001,,
268,WATERFALLS,CDST0171_001,,
269,Waterfalls East,CDST0194_001,,
270,WATSOMBA,CDST0172_001,,
271,WEDZA,CDST0173_001,,
272,WESTGATE,CDST0175_001,,
273,WEVERLY,CDST0174_001,,
274,Zambia,CCUN0015_001,,
275,ZENGEZA 2,CDST0176_001,,
276,ZENGEZA 3,CDST0177_001,,
277,ZENGEZA 4,CDST0178_001,,
278,Zengeza Province,CPRV0041_001,,
279,ZIMRE PARK,CDST0179_001,,
280,ZIMUNYA,CDST0180_001,,
281,ZVISHAVANE,CPRV0035_001,,
